t,i,q
-1.5972,-1.7948147,3.1805324
-1.5968,-1.7984274,3.1900265
-1.5964,-1.7998778,3.1924361
-1.596,-1.8001586,3.1924166
-1.5956,-1.8005104,3.1927684
-1.5952,-1.800778,3.1926667
-1.5948,-1.8007384,3.1927609
-1.5944,-1.8005104,3.1925329
-1.594,-1.8009721,3.1924449
-1.5936,-1.8007459,3.1920831
-1.5932,-1.8009551,3.1925329
-1.5928,-1.8007459,3.1923294
-1.5924,-1.7131591,3.2144474
-1.592,-1.6691786,3.2202588
-1.5916,-1.6736316,3.2277765
-1.5912,-1.6741461,3.2288865
-1.5908,-1.6740198,3.2289895
-1.5904,-1.6738615,3.2292006
-1.59,-1.6739086,3.2290592
-1.5896,-1.6740669,3.2294211
-1.5892,-1.6738615,3.2296717
-1.5888,-1.6736259,3.2294343
-1.5884,-1.6736259,3.2290725
-1.588,-1.6736448,3.2286761
-1.5876,-1.6609966,3.230029
-1.5872,-1.538765,3.2339331
-1.5868,-1.536046,3.2362619
-1.5864,-1.539021,3.2419744
-1.586,-1.5395619,3.2425266
-1.5856,-1.5392736,3.2421648
-1.5852,-1.5392434,3.2421949
-1.5848,-1.5394394,3.2425234
-1.5844,-1.5398653,3.2423099
-1.584,-1.539543,3.2423664
-1.5836,-1.5399048,3.2424644
-1.5832,-1.5400638,3.2418784
-1.5828,-1.5402246,3.241438
-1.5824,-1.4863486,3.2362159
-1.582,-1.3975454,3.2158303
-1.5816,-1.4031322,3.2278694
-1.5812,-1.4042321,3.2302483
-1.5808,-1.4044607,3.2301208
-1.5804,-1.4047195,3.2300523
-1.58,-1.4047346,3.2302056
-1.5796,-1.4050173,3.2304569
-1.5792,-1.4046065,3.2306623
-1.5788,-1.4043219,3.230928
-1.5784,-1.4042189,3.2301868
-1.578,-1.4045462,3.2303156
-1.5776,-1.4044593,3.2300036
-1.5772,-1.3132158,3.2015779
-1.5768,-1.2658809,3.1851984
-1.5764,-1.2697402,3.1942778
-1.576,-1.2698979,3.1951931
-1.5756,-1.2701957,3.1949499
-1.5752,-1.2703596,3.1949726
-1.5748,-1.2705405,3.1945505
-1.5744,-1.2709023,3.1944958
-1.574,-1.2708684,3.1946937
-1.5736,-1.2709193,3.1948199
-1.5732,-1.2713527,3.1947521
-1.5728,-1.2713125,3.1946013
-1.5724,-1.2698389,3.194036
-1.572,-1.1552036,3.1352127
-1.5716,-1.14331,3.1335673
-1.5712,-1.1446354,3.1365146
-1.5708,-1.1451423,3.137492
-1.5704,-1.1450443,3.1372835
-1.57,-1.1452026,3.1383558
-1.5696,-1.1448559,3.1380743
-1.5692,-1.1447955,3.1377276
-1.5688,-1.144967,3.1379179
-1.5684,-1.1451216,3.1378011
-1.568,-1.1451743,3.1376993
-1.5676,-1.145163,3.1381918
-1.5672,-1.1059721,3.1116788
-1.5668,-1.0252641,3.0512495
-1.5664,-1.0283816,3.0590887
-1.566,-1.0287422,3.0604129
-1.5656,-1.029131,3.0608061
-1.5652,-1.0287196,3.0598627
-1.5648,-1.0289576,3.0600341
-1.5644,-1.0289878,3.0598381
-1.564,-1.028918,3.0601302
-1.5636,-1.0291008,3.060492
-1.5632,-1.0283684,3.0603093
-1.5628,-1.0288345,3.060509
-1.5624,-1.0272599,3.0589168
-1.562,-0.9511378,2.9837099
-1.5616,-0.9263501,2.9560433
-1.5612,-0.9293476,2.9640987
-1.5608,-0.9296718,2.9642628
-1.5604,-0.9299074,2.9643758
-1.56,-0.929766,2.964455
-1.5596,-0.9303464,2.9646283
-1.5592,-0.9298263,2.9646736
-1.5588,-0.9300449,2.9645473
-1.5584,-0.9294381,2.9647113
-1.558,-0.9294457,2.9647659
-1.5576,-0.9300562,2.9645963
-1.5572,-0.9181213,2.9480004
-1.5568,-0.8522725,2.853177
-1.5564,-0.8484651,2.8505447
-1.556,-0.8501837,2.8547659
-1.5556,-0.8504846,2.8553017
-1.5552,-0.8505261,2.8553149
-1.5548,-0.8506599,2.8557709
-1.5544,-0.8509972,2.8550643
-1.554,-0.8506957,2.8555668
-1.5536,-0.8507202,2.8555907
-1.5532,-0.8506938,2.8554581
-1.5528,-0.8504482,2.8557132
